NAME OF THE SCHOLARSHIPS,ORGANISATION ,ELIGIBILITY,AMOUNT,LINKS,TYPES,FIELD OF STUDY,EXAM,APPLICATION FEES,,
Scotland Saltire Scholarship,Government of Scotland,"Any International student who is a citizen of the following countries and have a conditional or unconditional offer of a place at GCU on an eligible,course that will be delivered physically in Scotland or via distance online learning or via a combination of both but must be a full time programme.,Canada,China,Hong Kong,India,Japan,Pakistan,USA,Be able to demonstrate that they can meet the costs of living in Scotland and the remaining tuition fees.,Not have previously studied for a full undergraduate degree in Scotland.,Not have previously received a Saltire Scholarship.,Meet the language requirements of the course.","Euro 8,000",https://www.gcu.ac.uk/study/scholarships/postgraduate/scotlandssaltirescholarship,Scholarship,Graduate,Application Process,NA ,International,
LIC HFL Vidyadhan Scholarship for Post-Graduation, LIC Housing Finance Limited (LIC HFL),"Students enrolled in the first year of post-graduation programme at any recognised college/university/institution in India can apply. Applicants must have scored at least 60% marks in their respective UG level programmes. The family income of the applicant must not be more than INR 3,60,000 per annum from all sources. Preference will be given to COVID-affected children who have either lost any of their earning members/parents since January 2020 or whose earning family member(s) have lost livelihood/employment during the pandemic.","INR 20,000 per year for 2 years",https://www.buddy4study.com/page/lic-hfl-vidhyadhan-scholarship,Scholarship,Post Graduate,Application Process ,NA ,National,
NCERT Doctoral Fellowships,National Council of Educational Research and Training (NCERT),"at least 60% marks in both graduate and post graduate levels, age should not be more than 35 years","Rs 23,000(for non NET), Rs 25,000 (for NET)",https://app.idreamcareer.com/dashboard?utm_source=scholarship&utm_medium=NCERT_Doctoral_Fellowships?&utm_campaign=scholarship_application_fees#information/scholarships/NCERT-Doctoral-Fellowships/details/2020-21?q=#applicationFees,Fellowship,Phd,Application Process ,No application Fees,National,
Award of DBT RESEARCH associateship in biotechonology & life sciences,Ministry of science and technology,"The applicants should hold a Ph.D. degree in Science, Engineering or M.D./M.S. degree in any area of medicine with research interests in Biotechnology and Life Sciences and a good academic record",stipend,https://www.scholarshipsinindia.com/fellowship/award-of-dbt-research-associateship-in-biotechnology-life-sciences.html,Fellowship,Post-doc research,Application Process ,NA ,National,
ICTS-TIFR postdoctoral fellowships,TIFR,Applicants must have PHD,stipend,https://www.scholarshipsinindia.com/fellowship/icts-tifr-postdoctoral-fellowships.html,Fellowship,Post-doc research,Application Process ,NA ,National,
MK Bhan young researcher fellowship programme,"Department of Biotechnology, Ministry of science and technology",The applicant should be Indian National and possess a Ph.D. in any branch of Life Sciences/ Biotechnology/allied areas.,stipend,https://www.scholarshipsinindia.com/fellowship/m-k-bhan-young-researcher-fellowship-programme-mkb-yrfp.html,Grant,Post-doc research,Application Process ,NA ,National,
National talent search examination(NTSE),Government of India,Passed Class X from recognized school & must be below 18 years as on July 1 of the year of admission,Rs. 1250 (for highschool) ; Rs. 2000 and above for undergraduates,https://school.careers360.com/exams/ntse,Scholarship,graduate/high school,good performance NTSE examination,NA ,National,
National Level Talent search examination,Government of India,From Class II to XII,"Rs. 2,00,000 cash prize (first rank among all the classes), Laptop + a Memento + a Medal (top 3 rankers)",https://school.careers360.com/exams/nstse,Scholarship,below graduate,good performance NSTSE examination,NA ,National,
Kishor Vaigyanik Protsahan Sanstha (KVPY),GOvernment of India,applicant must be a science student from class 11 or 12,Rs. 5000(monthly fellowship) + Rs.20000(annual grant),https://school.careers360.com/articles/scholarships-in-india,Fellowship,Graduate,good performance in KVPY examination followed by 2 other rounds,Rs. 1250,National,
International Olympiad of english language,Government of India,applicant must be from class 1 to 12,cash prize worth 100000,https://school.careers360.com/articles/scholarships-in-india,Scholarship,below graduate,tops in IOEL examination,Rs. 120,National,
National Science Olympiad,National Science olympiad,applicant must be from class 1 to 12,"internationa toppers win Rs.50,00,000 and a gold medal",https://school.careers360.com/articles/scholarships-in-india,Scholarship,below graduate,tops in national science olympiad,NA ,National,
Silver Zone olympiads,Silver zone olympiad,applicant must be from class 1 to 12,"cash prize of 20,000",https://school.careers360.com/articles/scholarships-in-india,Scholarship,below graduate,good perfomamce in silver zone olympiad,NA ,National,
UCO (unified cyber olympiad exams),unified cyber olympiad,class 2 to 10,"cash prize of 2,00,000",https://school.careers360.com/articles/scholarships-in-india,Scholarship,below graduate,good perfomamce in UCO examination,NA ,National,
Zonal informatics olympiad,zonal informatics olympiad,class 1 to 12,invited to participate in international olymiads,https://school.careers360.com/articles/scholarships-in-india,Scholarship,below graduate,good performance in zonal informatics olympiad,NA ,National,
National Interactive Maths olympiad,National interactive maths olympiad,class 1 to 12,50000( international toppers) ; 5000(national toppers),https://school.careers360.com/articles/scholarships-in-india,Scholarship,below graduate,good performance in national interactive maths olympiad,NA ,National,
JK Lakshmipat university scholarships for meritious students,JK lakshmipat university,"students wanting to pursue MBA,BBA+MBA can apply",50% of tution fee,https://www.indcareer.com/scholarships/jk-lakshmipat-university-scholarships/,Scholarship,Graduate,9.5% cgpa in first year for 75% waiver in fees,NA ,National,
ONGC scholarships,ONGC corporation,Availabe to meritious students i beloning to SC/ST in deheradhun wanting to pursue professional courses,"Rs. 48,000",https://www.indcareer.com/scholarships/ongc-scholarships-sc-st-students/,Scholarship,Graduate,Application Process ,NA ,National,
Charpak Exchange Scholarship program,Charpak exchange,available to indian students who want to take a semester abroad in foreign university,700 euros monthly,https://www.indcareer.com/scholarships/charpak-exchange-scholarship-program/,Scholarship,Graduate,Application Process ,NA ,National,
JN tata endowment scholarship,Tata,"Indian students who have completed their graduation, or are in the final year of any graduation programme at a recognised institution in India can apply for this scholarship. Applicants must have scored minimum 60% marks in their last academic examinations",upto 10 Lakh,https://www.indcareer.com/scholarships/the-j-n-tata-endowment-loan-scholarship/,Scholarship,Graduate,Application Process ,NA ,National,
