QUT Excellence Scholarship (Elite Visual and Performing Arts),These scholarships recognize excellence in creative pursuits and signal their intention to attract the best students to the creative industries discipline. ...,https://www.scholarshipportal.com/scholarship/qut-excellence-scholarship-elite-visual-and-performing-arts,Bachelor,"up to $30,000 for up to 3 years",NA,NA
Vice-Chancellor's International Scholarship (VCIS) - Korea University,Awarded to highest academic performing student completing their Graduate Diploma in Translating and Interpreting at Korea University. ...,https://www.scholarshipportal.com/scholarship/vice-chancellors-international-scholarship-vcis-korea-university,"Master, , Phd","AUD $7,500 as a one-off payment",NA,NA
Global MBA Alumni Scholarship,This scholarship is awarded to all eligible Macquarie University alumni international students who intend to commence their GMBA studies. ...,https://www.scholarshipportal.com/scholarship/global-mba-alumni-scholarship,"Master, , Phd",10% off your tuition fee,NA,NA
Su Mon Wong Scholarship for Excellence in Marketing,Scholarship for a current undergraduate or postgraduate coursework student majoring in marketing. ...,https://www.scholarshipportal.com/scholarship/su-mon-wong-scholarship-for-excellence-in-marketing,"Bachelor, , Master, , Phd","$10,000 in the final year of study.",21-Nov-22,NA
QUT Hastings Deering PhD Scholarships,A scholarship for future PhD students to undertake cutting edge data science in partnership with QUT Centre for Data Science and Hastings Deering. ...,https://www.scholarshipportal.com/scholarship/qut-hastings-deering-phd-scholarships,Phd,"$28,854 (AUD) per annum for three years",NA,NA
Vice-Chancellor's International Scholarship (VCIS) - Pontificia Universidad Javeriana,"The Vice-Chancellor’s International Scholarship is awarded to students who are members of Direccion de Relaciones con Egresados, Pontificia Universidad Javeriana. The scholarship is awarded to eligible students who are intending t...",https://www.scholarshipportal.com/scholarship/vice-chancellors-international-scholarship-vcis-pontificia-universidad-javeriana,"Master, , Phd",15% of the total tuition fees.,NA,NA
Understanding emotion-laden learning environments in elite sport,PhD scholarship in skill acquisition and sport psychology at Queensland University of Technology. ...,https://www.scholarshipportal.com/scholarship/understanding-emotion-laden-learning-environments-in-elite-sport,"Master, , Phd","$30,000 per annum",NA,NA
Coral Reef Vulnerability Mapping scholarships,"The projects will focus on key areas in the Great Barrier Reef and integrate several different datasets on drivers of rubble generation (e.g., cyclones tsunamis, Crown of Thorns Starfish invasions, bleaching events) to develop vul...",https://www.scholarshipportal.com/scholarship/coral-reef-vulnerability-mapping-scholarships,"Master, , Phd","$21,041 or $35,000 depending on the program",NA,NA
QUT College English Language Concession,A tuition fee concession for commencing students from selected countries to study English for Academic Purposes at QUT College. ...,https://www.scholarshipportal.com/scholarship/qut-college-english-language-concession,"Bachelor, , Master, , Phd",25% from the tuition fee,NA,NA
QUT School of Mathematical Sciences PhD Project in Mathematical Modelling of Ecosystem Feedbacks and Value of Information Theory,This project would particularly suit a candidate who is interested in applying and advancing their quantitative skills to solve challenging environmental problems. ...,https://www.scholarshipportal.com/scholarship/qut-school-of-mathematical-sciences-phd-project-in-mathematical-modelling-of-ecosystem-feedbacks-and-value-of-information-theory,Phd,"AUD 28,597 per annum for 3 years",NA,NA
Access to screen culture in an algorithmic age (PhD scholarship),A scholarship for future PhD students interested in researching the influence of algorithms on screen content. ...,https://www.scholarshipportal.com/scholarship/access-to-screen-culture-in-an-algorithmic-age-phd-scholarship,Phd,"$28,597 per annum",NA,NA
Innovation Metrics Research,"A top-up scholarship for current or future research domestic students studying either business statistics, econometrics or data science. ...",https://www.scholarshipportal.com/scholarship/innovation-metrics-research,Phd,"$5,000 per year for up to three years",NA,NA
Equity Scholarships Scheme,Over 3000 QUT students experiencing financial hardship currently benefit from the Equity scholarships scheme. QUT encourages all eligible low-income students (current and future) to apply. ...,https://www.scholarshipportal.com/scholarship/equity-scholarships-scheme,"Bachelor, , Master, , Phd","$1,500 for one semester",NA,NA
QUT College Merit Scholarship,This scholarship is sponsored by QUT College. It is available to international students who have demonstrated academic achievement or can demonstrate how they intend to commit to success in their future studies. ...,https://www.scholarshipportal.com/scholarship/qut-college-merit-scholarship,Bachelor,"$2,600 or $3,120 depending on your program",NA,NA
Data61 PhD Scholarship,"As part of Australia’s leading digital research powerhouse, Data61 inspires PhD students to contribute to a data-rich community that informs, impacts and continually evolves. From smart cities, data-driven health and social servic...",https://www.scholarshipportal.com/scholarship/data61-phd-scholarship,Phd,"up to $15,000 per year.",NA,NA
International Merit Scholarship,A high achievement scholarship for future international undergraduate and postgraduate students. ...,https://www.scholarshipportal.com/scholarship/international-merit-scholarship,"Bachelor, , Master, , Phd",25% of your tuition fees per semester,NA,NA
ARC Discovery Project Scholarship in Materials Science,An exciting opportunity for research students interested in studying materials science. ...,https://www.scholarshipportal.com/scholarship/arc-discovery-project-scholarship-in-materials-science,Phd,"AUD 28,597 depending on the programme",NA,NA
